1,6,4,11,8,16,13,0,18,14,7,2,12,17,5,3,10,15,9
Gria2,Fabp7,Erbb4,Cenpf,Sparcl1,Reln,Ubc,Pou3f3,Clic6,Sparcl1,Atp1a3,Atp1a3,Olig2,Laptm5,Gria2,Tcf7l2,Epb41l1,Chd7,Atp1a3
Nrp1,Ptprz1,Gria1,Top2a,Cdh5,Chd7,Stxbp1,Meis2,Syne2,Atp1a2,Grik3,Snhg11,Chd7,C1qb,Trpc4,Snhg11,Cadm1,Nfib,Sema3e
Zbtb20,Sox9,Sox1,Mki67,Cldn5,Nhlh2,Atp1a3,Sox11,Cdh3,Col3a1,Cadm1,Dnm1,Pdgfra,Apoe,Atp1a3,Ntm,Gabbr1,Rspo3,Snhg11
Gria1,Atp1a2,Trpc4,Chd7,Ubc,Nfib,Gng2,Ptprs,Dsp,Cdh5,Gria2,Stxbp1,Cntn1,Csf1r,Nrcam,Srgap1,Stmn1,Syt9,Erbb4
Epha4,Slc1a2,Sox2,Pax6,Apcdd1,Bin1,Cplx2,Foxg1,Sox9,Apcdd1,Fezf2,Gria1,Ptprz1,Ptprj,Foxg1,Atp1a3,Gabbr2,Syt6,Ptprj
Neurod2,Pou3f3,Cux2,Nfib,Ptprm,Ptprs,Stmn2,Nfib,Kit,Bmp7,Neurod2,Gabbr1,Cspg4,Mrc1,Stx1b,Dnm1,Plxna2,Slc17a6,Grin1
Grik2,Pax6,Atp1a3,Sox9,Vim,Cacna2d1,Syt1,Neurod2,Tead1,Ubc,Dync1i1,Robo1,Sox10,Pld4,Plxna4,Cadm1,Cdh2,Nipbl,Bin1
Neurod6,Chd7,Grik1,Cenpe,Trim25,Rgs4,Syt6,Gria2,Ubc,Cxcl12,Nrcam,Cadm1,Egfr,Hpgds,Ncam1,Stxbp1,Creb1,Nrcam,Pax6
Foxg1,Ccdc80,Cadm1,Ccdc80,Mpzl1,Cdh4,Grik1,Pou3f2,Clu,Bmp5,Grm3,Erbb4,Erbb4,Grk2,Tubb3,Cntn4,Cacnb4,Gnas,Six3
Atp1a3,Ccnd2,Nxph1,Nfia,Igf1r,Snhg11,Gad1,Sox4,Chd2,Axin2,Kit,Gng2,Sall3,Ubc,Cnr1,Bin1,Ap2b1,Slc2a13,Gad2
Neo1,Vim,Dlx1,Vim,Ccdc141,Msi2,Stx1b,Plxna4,Cldn2,Pdgfra,Bin1,Tet2,Ctnnb1,P2ry12,Ppp3cb,Epb41l1,Trpc4,Smad1,Rgs16
Nfib,Mfge8,Lhx6,Lmnb1,Pecam1,Diablo,Gng3,Ttc28,Msi2,Slc6a13,Stxbp1,Grin1,Pou3f3,Sall1,Cacna2d1,Cacna1b,Syp,Apcdd1,Aqp4
Ptprs,Id4,Robo1,Pou3f3,Sema7a,Robo2,Vamp2,Igfbpl1,Igfbp2,Lamb1,Dnm1,Grik1,Nlgn2,C1qa,Sparcl1,Gabbr1,Neo1,Cul1,Cntn4
Hcn1,Nfib,Dnm1,Ccnd2,Atp1a2,Ndnf,Camk4,Zbtb20,Igf1r,Vim,Srgap1,Slitrk1,Sdc3,Cx3cr1,Cadm1,Grin1,Prkca,Slc38a2,Dyrk1a
Stxbp1,Msi2,Gad1,Syne2,Lef1,Draxin,Gng4,Grik2,Pdgfra,Glul,Syt6,Cux2,Etv5,Cd86,Crmp1,Id4,Stx16,Fzd3,Nxph1
Grin2a,Sox2,Gng2,Sox2,Cd34,Ccnd2,Tuba1a,Syne2,Chd6,Htra1,Epb41l1,Bin1,Sox2,Itgam,Mpped1,Tubb3,Cd70,Bin1,Tet2
Sox11,Slc1a3,Snhg11,Mfge8,Gnai2,Nfix,P2rx4,Satb2,Lef1,Chd7,Ncam1,Ncam1,Map2,Mki67,Asxl3,Stmn2,Cntn6,Axin2,Grik1
Nectin3,Gfap,Stxbp1,Ptprz1,Sema6d,Cxcl12,Gap43,Pax6,Apoe,Gnas,Slitrk1,Stmn2,Omg,P2ry13,Epha7,Sdc3,Cx3cl1,Grk2,Syt1
Crmp1,Htra1,Kcnc2,Slc1a2,Lamb1,Trp73,Rasgrf2,Mpped1,Bmp7,Gjb6,Cacnb4,Cacna1b,Mest,Ptprc,Celf2,Stx1b,Cacna2d2,Robo3,Apoe
Cadm1,Nfia,Ptprm,Chd2,Cobll1,Pax6,Dlx5,Cacna2d1,Itpr1,Kit,Lrrc4c,Cacnb4,C1ql1,Gnai2,Tet2,Slc17a6,Atp6v1d,Huwe1,Arhgef9
Srgap3,Grm3,Ncam1,Slc1a3,Lrp8,Nfia,Sp8,Lrp8,Idh2,P2ry1,Cntn1,Ccdc88a,Grik3,C1qc,Neurod6,Nrcam,Prkcz,Sox4,Ntm
Camk2b,Cdh2,Grik3,Axin2,Ptprb,Srgap3,Cacng5,Kcnq3,Ptprm,March6,Stmn2,Epb41l1,Sparcl1,Bin1,Gnai1,Ncam1,Epm2a,Slc25a18,Cfl1
Nrp2,Vcan,Cacnb4,Ankrd11,Kit,Emx2,Aqp4,Unc5d,Cntn1,Gsn,Unc13b,Ptprm,Kcnd2,Atp6v0b,Dab1,Gnai1,Kcnb1,Csf1r,Gnai3
Robo1,Gli3,Epha7,Idh2,Axin2,Kcnh7,Slit1,Neo1,Rgs3,Trim25,Adcy1,Ntm,Nlgn3,Itgb2,Sptan1,Nectin1,Atp1a1,Eomes,Rgs3
Sptan1,Zbtb20,Nrxn3,Draxin,Itgb1,Neurod1,Eef1a2,Ntng2,Gnas,Lef1,Neurod6,Grm3,Chd6,Cenpf,Nectin3,Cntn6,Trpc5,Cdh20,Grm3
Cacna2d1,Sall1,Tet2,Tead1,Pdgfrb,Tead1,Folr1,Mex3a,Cux2,Ptprm,Hcn1,Epha7,Olig1,Ptgs1,Unc13b,Sp9,Unc13b,Rock2,Cux2
Calm1,Cdh4,Nlgn2,Atp1a2,Rgs3,Plcb1,Cplx3,Fzd3,Huwe1,Mpzl1,Ptprj,Tubb3,Fabp7,Chd2,Ccdc88a,Gria2,Dnm1,Cep44,Fxyd6
Tubb3,Sparcl1,Dlx2,Huwe1,Rgs4,Kit,Robo1,Nr2f1,Axin2,Laptm5,Crmp1,Nxph1,Gpr17,Chd7,Stmn2,Gng2,Plxnc1,Atp1a1,Arhgef12
Stmn2,Ptprj,Gabbr1,Gli3,Slc38a2,Clstn2,Gsk3b,March6,Lrp6,Mrc1,Limk1,Grik3,Cdh4,Btg1,Gng3,Unc13c,Vldlr,Plxnc1,Klhl24
Gabra5,Gnao1,Epha3,Sall1,Gnas,Vcan,Dlg4,Nlgn2,Atp1a1,Ngfr,Vcan,Nlgn2,Draxin,Apaf1,Dnajc27,Grm3,Sema4g,Igfbpl1,Itgb1
