2,1,3,9,6,10,11,5,0.0,0.1,0.2,20,19,0.3,13,16,17,22,18,8,7,21,23,0.4,12,4,15,14
Gria1,Sparcl1,Cdh5,Neurod1,Hopx,Olig2,Nfib,Atp1a3,Ubc,Gria1,Ubc,Ccdc153,Fgfr1,Zbtb20,Npy2r,Laptm5,Neurog2,Emx2,Clic6,Gria1,Bhlhe22,Reln,Pdlim4,Igfbpl1,Mbp,Nfib,Psen2,Neurog2
Epha6,Slc1a2,Apcdd1,Zbtb20,Sparcl1,Pdgfra,Chd7,Snhg11,Atp1a3,Atp1a3,Atp1a3,Slc38a1,Zbtb20,Nfib,Gria1,Csf1r,Cxcr4,Nfib,Cdh3,Dsp,Stxbp1,Ndnf,Atp1a2,Ubc,Tcf7l2,Ptprs,Dlgap1,Jam3
Grin2a,Atp1a2,Cldn5,Nfib,Dio2,Sox10,Ccnd2,Dnm1,Stxbp1,Grin2a,Stxbp1,Foxj1,Sox11,Epha4,Dnm1,C1qb,Epha4,Slc1a2,Cldn2,Ptprj,Frrs1l,Snhg11,Sparcl1,Zbtb20,Plp1,Epha4,Igf1r,Gabra4
Atp1a3,Fabp7,Sparcl1,Prox1,Slc1a2,Gpr17,Ptprs,Stxbp1,Evx1,Gria2,Calm1,Vim,Gria2,Prox1,Atp1a3,P2ry12,Crmp1,Fabp7,Atp1a1,Grin1,Crmp1,Nhlh2,Gfap,Sptan1,Ptprj,Vcan,Ptprz1,Sall1
Neurod6,Aqp4,Ptprm,Epha4,Atp1a2,Cntn1,Meis2,Grik1,Pax3,Grik2,Prkca,Sox9,Prox1,Sox11,Grin2a,Hpgds,Zbtb20,Nfia,Syne2,Prox1,Atp1a3,Cacna2d1,Msi2,Gria1,Nfasc,Neurod1,Evx1,Ptprs
Epha7,Htra1,Vim,Sox11,Grm3,Nlgn2,Top2a,Erbb4,Mboat7,Bcl6,Crmp1,Idh2,Epha4,Gria2,Neurod6,Pld4,Gria2,Grm3,Igfbp2,Plxna4,Neurod2,Trp73,Vim,Frrs1l,Gpr17,Sox11,Cplx3,Sox11
Nr4a3,Grm3,Atp1a2,Gria2,Fabp7,Chd7,Mki67,Gria1,Cldn15,Ubc,Stmn2,Atp1a1,Neurod1,Plxna4,Snhg11,Cx3cr1,Nfib,Gabbr1,Clu,Epha7,Gria1,Gfap,Ptprz1,Tubb3,Mag,Dcc,Adcy4,Olig2
Crmp1,Gfap,Lef1,Plxna4,Aqp4,Erbb4,Cenpf,Gad1,Pard3,Ppp3cb,Neurod6,Fzd3,Nfib,Ptprs,Stxbp1,Sall1,Ptprs,Atp1a2,Itpr1,Nsf,Sptan1,Bin1,Slc1a2,Gnas,Sox10,Mdga1,Unc5c,Ccnd2
Gria2,Apoe,Lamb1,Ptprs,Gabbr1,Cspg4,Sox4,Syt1,Kcnk4,Hcn1,Sptan1,Sox2,Plxna2,Plxna2,Prkca,Ptprj,Gnao1,Zbtb20,Dsp,Epha4,Stmn2,Rgs4,Gnao1,Atp1a3,Mpzl1,Igfbpl1,Cd86,Syne2
Dnm1,Glul,Pecam1,Plxna2,Htra1,Kcnip3,Sox11,Cacnb4,Icam2,Stxbp1,Cplx2,Id4,Nfia,Stxbp1,Ppp3cb,P2ry13,Cplx2,Ptprs,Bmp7,Camk2b,Nrp1,Robo2,Aqp4,Stmn1,Grik3,Nfix,Gal,Cdh2
Grik2,Ptprz1,Mpzl1,Nfia,Ptprz1,Sdc3,Syne2,Cadm1,Dixdc1,Kcnd2,Rab3a,Msi2,Plxna4,Sema5a,Epha6,C1qa,Neurod1,Htra1,Idh2,Dnm1,Gria2,Cxcl12,Pax6,Gng4,Cldn11,Draxin,Cldn3,Ptprj
Snhg11,Sox9,Gnai2,Gria1,Gfap,Olig1,Draxin,Cux2,Glycam1,Grin1,Dnm1,Rgs4,Nrp1,Mex3a,Stmn2,Mrc1,Stxbp1,Gnao1,Gnas,Gabra5,Ubc,Cdh4,Apoe,Grin2a,Itpr2,Nfia,Sdc4,Pou3f3
Stxbp1,Gabbr1,Cd34,Igfbpl1,Apoe,Grik3,Sox1,Srgap1,Sst,Neurod6,Tubb3,Aqp4,Ptprs,Sox4,Robo1,Apoe,Gria1,Vcan,Huwe1,Ntrk3,Ncam1,Cd274,Meis2,Ptprs,Gfap,Ctnnb1,Efna5,Srgap3
Nrp1,Slc6a11,Trim25,Sox4,Glul,Ptprz1,Pou3f3,Ptprm,Gdf7,Neurod2,Frrs1l,Clu,Nfix,Gria1,Gria2,Tmem119,Robo1,Gria2,Tead1,Stxbp1,Epha4,Diablo,Mfge8,Nfib,Ptk2,Sox4,Gabra3,Nfib
Ppp3cb,Pou3f3,Ubc,Stxbp1,Sox9,Ankrd11,Pax6,Stmn2,Trem2,Cntn4,Nrp1,Rgs3,Gria1,Nfia,Grin1,Bin1,Stmn2,Sox11,Lef1,Atp1a3,Tubb3,Dync1i1,Sox2,Neurod2,Trak2,Nrn1,Syt2,Tet2
Epha4,Atp1b2,Flna,Nfix,Pou3f3,C1ql1,Sox2,Pak3,Gata2,Crmp1,Ppp3cb,Sema6d,Sema5a,Nrp1,Crmp1,Grk2,Frrs1l,Slc1a3,Ptprm,Zbtb20,Robo1,Nfib,Grm3,Gabra5,S100b,Ptk2,Atp6v1g1,Epha4
Grin2b,Sox2,Ptprb,Sema5a,Mfge8,Vcan,Pou3f2,Grik3,Cldn6,Grin2b,Robo1,Sox1,Nrp2,Nfix,Bin1,Itgam,Sox11,Pou3f3,Msi2,Grin2a,Meis2,Kcnh7,Fabp7,Atp6v0a1,Gsn,Limk1,Slc12a5,Wdr62
Grin1,Mfge8,Igf1r,Bhlhe22,Slc1a3,Itpr2,Lmnb1,Epb41l1,Kcnt1,Trpc4,Mapk8ip3,Ablim1,Chd6,Insm1,Gnai1,Cd86,Foxg1,Ptprz1,Mest,Cadm1,Rab3a,Msi2,Ptprs,Calm1,Ubc,Lrp8,Slc35f1,Btrc
Nectin3,Slc1a3,Itgb1,Sema6d,Gnao1,Nlgn3,Btg1,Cacna1b,Cd4,Stmn2,Camk2b,Srgap3,Sox4,Nrp2,Gabra5,Gfap,Neurod6,Slc6a11,Ccnd2,Cplx2,Nfasc,Fat3,Id4,Cplx1,Sema4d,Lamb1,Epha3,Ccna2
Trpc4,Hes5,Cobll1,Ttc28,Atp1b2,Fabp7,Dlx1,Grin1,Sdc1,Epha7,Gap43,Zbtb20,Sema6d,Foxg1,Grin2b,Ptgs1,Grik2,Neurod1,Apoe,Sema5a,Ptprs,Srgap3,Pou3f2,Epha4,Rgs3,Cdh2,Creb1,C1ql3
Rasgrp1,Pax6,Sema6d,Nrp2,Slc6a11,Nxph1,Ccdc88a,Bin1,Atp6v1b1,Rasgrp1,Nsf,Cadm1,Zfp609,Ttc28,Frrs1l,Efhd2,Pou3f3,Sox9,Cntn1,Tiam1,Stx1b,Kit,Hopx,Sema4f,Omg,Chd2,Kcnj3,Cacng5
