names,scores,logfoldchanges,pvals,pvals_adj,group,sample_id
Plp1,29.39893,4.912529,5.667332986396816e-190,5.440639666940943e-187,0,p30_R3_mut
Mag,29.20787,6.7842903,1.5405559672099981e-187,7.394668642607991e-185,0,p30_R3_mut
Cldn11,28.434975,6.3834696,7.475512014143215e-178,2.3921638445258286e-175,0,p30_R3_mut
Gsn,26.690283,5.4522147,6.103037177138617e-157,1.464728922513268e-154,0,p30_R3_mut
Mbp,23.881737,2.5905504,4.741715341019521e-126,9.10409345475748e-124,0,p30_R3_mut
Nfasc,23.185247,3.311801,6.414801775088936e-119,1.0263682840142297e-116,0,p30_R3_mut
Mog,22.598492,6.4845986,4.48426601981152e-113,6.1498505414557986e-111,0,p30_R3_mut
Bin1,22.404963,2.4433622,3.520959788113664e-111,4.225151745736397e-109,0,p30_R3_mut
Cntn2,22.021072,5.1088405,1.8093416921025163e-107,1.9299644715760174e-105,0,p30_R3_mut
Sox10,21.397646,4.007938,1.4052426087535073e-101,1.3490329044033671e-99,0,p30_R3_mut
Olig1,20.89686,3.4312274,5.718550555543336e-97,4.990735030292367e-95,0,p30_R3_mut
Efnb3,19.16043,4.046696,7.921547042523924e-82,6.3372376340191385e-80,0,p30_R3_mut
Olig2,18.033247,2.863552,1.068281789122494e-72,7.888850135058417e-71,0,p30_R3_mut
Sema4d,17.880531,3.770906,1.6723786795874556e-71,1.1467739517171124e-69,0,p30_R3_mut
Unc5b,16.041433,4.177223,6.562271354189837e-58,3.4998780555679136e-56,0,p30_R3_mut
Jam3,14.795831,3.8177917,1.5584823135387026e-49,6.504969656509367e-48,0,p30_R3_mut
Lpar1,13.950619,3.382052,3.118886013148725e-44,1.1515886817779906e-42,0,p30_R3_mut
Rhob,13.862877,1.72494,1.0632526294470759e-43,3.780453793589603e-42,0,p30_R3_mut
Rgs3,13.298088,2.504727,2.37463852718959e-40,7.12391558156877e-39,0,p30_R3_mut
Mast3,13.278393,1.7151985,3.089541831904384e-40,8.987758056449116e-39,0,p30_R3_mut
Sox2,12.745455,2.0079663,3.304577592343804e-37,8.81220691291681e-36,0,p30_R3_mut
Gabbr1,12.536973,1.2253373,4.685561341403229e-36,1.1837207599334474e-34,0,p30_R3_mut
Cers2,12.286629,3.7448335,1.0687038303150398e-34,2.630655582313944e-33,0,p30_R3_mut
Ephb1,11.969936,2.7763305,5.106768710814126e-33,1.1672614196146575e-31,0,p30_R3_mut
