,Cluster_1,Cluster_2,Cluster_4,Cluster_5,Cluster_6,Cluster_8,Cluster_9,Cluster_11,Cluster_12,Cluster_14,Cluster_17,Cluster_19
Cluster_1,1.0,0.4862419084693304,0.6726150059363646,0.4321113149619409,0.6644824396107082,0.2991106692286415,0.4115314132419668,0.6836191785983582,0.7650004144491089,0.1886736802014352,0.18653919573673822,0.24871705619093626
Cluster_2,0.4862419084693304,1.0,0.30488105038027147,0.566769873002009,0.3227128005959307,0.35832774179444477,0.500724739628642,0.26896082728192144,0.5304840923174293,0.2200867757897492,0.3092003676614361,0.37251023027352975
Cluster_4,0.6726150059363645,0.30488105038027147,1.0,0.3385758351190397,0.5957139145130569,0.17483688967448743,0.34179319049776963,0.6775124518833793,0.532552549805262,0.08975706439717858,0.09606584747475135,0.14789968038986137
Cluster_5,0.4321113149619409,0.5667698730020091,0.33857583511903966,0.9999999999999998,0.3805388497182998,0.25522965830417443,0.43787873293885987,0.2970013966797572,0.44772479619730476,0.15561868756837202,0.20920079971701802,0.21909541107512426
Cluster_6,0.6644824396107083,0.32271280059593077,0.595713914513057,0.3805388497182998,1.0,0.17374163806540457,0.3868217734883115,0.6019258589016325,0.5237305492789125,0.09916696476116343,0.08765965660319183,0.21031498430141057
Cluster_8,0.29911066922864143,0.35832774179444477,0.17483688967448743,0.2552296583041744,0.17374163806540457,1.0,0.2541813444812132,0.15466108677585425,0.27494666751928293,0.1602384205778212,0.4200978837327953,0.21202762916089227
Cluster_9,0.4115314132419668,0.500724739628642,0.34179319049776963,0.43787873293885987,0.3868217734883115,0.25418134448121316,1.0,0.46676232773463755,0.40914805978004753,0.13130841613750543,0.16203103126493928,0.27819426983957174
Cluster_11,0.6836191785983582,0.2689608272819215,0.6775124518833793,0.2970013966797572,0.6019258589016325,0.15466108677585422,0.46676232773463755,0.9999999999999998,0.5416016142136976,0.08266924387314599,0.07183683390943194,0.15598892774138554
Cluster_12,0.7650004144491089,0.5304840923174294,0.532552549805262,0.44772479619730476,0.5237305492789126,0.27494666751928293,0.40914805978004753,0.5416016142136976,1.0,0.19976091498176596,0.14361578174284784,0.22769677030352925
Cluster_14,0.18867368020143524,0.2200867757897492,0.08975706439717858,0.15561868756837205,0.09916696476116343,0.1602384205778212,0.13130841613750543,0.08266924387314599,0.19976091498176596,1.0,0.16616319516338965,0.10396334844800995
Cluster_17,0.18653919573673822,0.30920036766143616,0.09606584747475135,0.20920079971701802,0.08765965660319183,0.42009788373279533,0.16203103126493928,0.07183683390943192,0.14361578174284784,0.16616319516338968,0.9999999999999999,0.21634343623661306
Cluster_19,0.24871705619093626,0.37251023027352975,0.1478996803898614,0.21909541107512426,0.21031498430141057,0.2120276291608923,0.2781942698395717,0.15598892774138556,0.22769677030352925,0.10396334844800995,0.21634343623661306,1.0
