names,scores,logfoldchanges,pvals,pvals_adj,time_point,cluster,abs_logfoldchanges,-log10_pvals_adj,significant,regulation
Grik2,3.1816864,1.1023213,0.0014642029512181686,0.4685449443898139,p7,19,1.1023213,0.3292487438065333,False,not_significant
Fgfr1,2.1449099,1.2699037,0.03196004959300836,1.0,p7,19,1.2699037,-0.0,False,not_significant
Nlgn2,1.4159484,0.3456479,0.15679062294712834,1.0,p7,19,0.3456479,-0.0,False,not_significant
Gfap,1.3690766,0.611979,0.17097534560967198,1.0,p7,19,0.611979,-0.0,False,not_significant
Slc6a11,1.3445913,0.56703675,0.17875725982393809,1.0,p7,19,0.56703675,-0.0,False,not_significant
Gnai1,1.1424129,0.82314175,0.2532824377627283,1.0,p7,19,0.82314175,-0.0,False,not_significant
Clu,1.1410137,1.5813676,0.25386421072516385,1.0,p7,19,1.5813676,-0.0,False,not_significant
Pax6,1.112331,0.6671219,0.2659958690960508,1.0,p7,19,0.6671219,-0.0,False,not_significant
Ptprm,1.094142,0.93305844,0.27389274025827437,1.0,p7,19,0.93305844,-0.0,False,not_significant
Grm3,1.0815495,0.5235374,0.2794527577569509,1.0,p7,19,0.5235374,-0.0,False,not_significant
Slc1a3,1.0619613,0.76484007,0.2882532663221956,1.0,p7,19,0.76484007,-0.0,False,not_significant
Mapk8ip3,0.9164488,0.18055205,0.35943155333047894,1.0,p7,19,0.18055205,-0.0,False,not_significant
Rgma,0.85348666,0.9238109,0.393389480783209,1.0,p7,19,0.9238109,-0.0,False,not_significant
Gabbr2,0.8485896,0.62364215,0.39610969149458597,1.0,p7,19,0.62364215,-0.0,False,not_significant
Egfr,0.8352976,1.0587375,0.4035501668881445,1.0,p7,19,1.0587375,-0.0,False,not_significant
Syt6,0.83319885,4.1587977,0.40473258264841827,1.0,p7,19,4.1587977,-0.0,False,not_significant
Tnfrsf19,0.8304005,1.0859181,0.4063123558759206,1.0,p7,19,1.0859181,-0.0,False,not_significant
Htra1,0.7849279,0.68601686,0.432495844058736,1.0,p7,19,0.68601686,-0.0,False,not_significant
Slc38a1,0.76324093,0.4137438,0.44531971601684595,1.0,p7,19,0.4137438,-0.0,False,not_significant
Nrcam,0.7576443,0.33875337,0.4486639475243581,1.0,p7,19,0.33875337,-0.0,False,not_significant
Nrxn3,0.74854976,28.781254,0.45412861193560694,1.0,p7,19,28.781254,-0.0,False,not_significant
Olig1,0.7478502,1.5107921,0.45455051943061453,1.0,p7,19,1.5107921,-0.0,False,not_significant
Sox2,0.7443523,0.35024616,0.4566633669510791,1.0,p7,19,0.35024616,-0.0,False,not_significant
Itgb1,0.74225354,0.7875832,0.4579337201942636,1.0,p7,19,0.7875832,-0.0,False,not_significant
Gls,0.7324594,1.4553769,0.4638881807942449,1.0,p7,19,1.4553769,-0.0,False,not_significant
Etv4,0.7317599,2.1782653,0.46431514296367415,1.0,p7,19,2.1782653,-0.0,False,not_significant
Nrxn1,0.72686285,1.2720231,0.46730999427439623,1.0,p7,19,1.2720231,-0.0,False,not_significant
Nras,0.72686285,0.7577792,0.46730999427439623,1.0,p7,19,0.7577792,-0.0,False,not_significant
Bcl6,0.7086738,2.6126442,0.4785269509210345,1.0,p7,19,2.6126442,-0.0,False,not_significant
Kcnc1,0.7044763,2.7351995,0.4811362128472202,1.0,p7,19,2.7351995,-0.0,False,not_significant
Cers2,0.6981801,1.4792612,0.4850645866721386,1.0,p7,19,1.4792612,-0.0,False,not_significant
Srgap2,0.6939826,1.1674548,0.48769312231955964,1.0,p7,19,1.1674548,-0.0,False,not_significant
Lrp1,0.67159605,0.7408865,0.5018408857010263,1.0,p7,19,0.7408865,-0.0,False,not_significant
Hes5,0.65060866,0.58685523,0.5152991222398531,1.0,p7,19,0.58685523,-0.0,False,not_significant
Sox1,0.6408146,1.1274351,0.5216431614768546,1.0,p7,19,1.1274351,-0.0,False,not_significant
Sqstm1,0.62192595,0.31590435,0.5339905693316769,1.0,p7,19,0.31590435,-0.0,False,not_significant
Glul,0.6163293,0.21258143,0.5376772026325836,1.0,p7,19,0.21258143,-0.0,False,not_significant
Nr2f1,0.6100331,0.7992297,0.5418398879782498,1.0,p7,19,0.7992297,-0.0,False,not_significant
Gap43,0.60513604,0.94272166,0.5450886124314955,1.0,p7,19,0.94272166,-0.0,False,not_significant
Atp1b2,0.6037369,0.47849897,0.5460185924664185,1.0,p7,19,0.47849897,-0.0,False,not_significant
Sall3,0.6023377,0.90806574,0.5469493584091508,1.0,p7,19,0.90806574,-0.0,False,not_significant
Vsir,0.5988398,28.82617,0.5492797039935162,1.0,p7,19,28.82617,-0.0,False,not_significant
Gabra2,0.59744066,1.6542381,0.5502132114560083,1.0,p7,19,1.6542381,-0.0,False,not_significant
Ddx3x,0.5925436,0.6663078,0.5534866275196273,1.0,p7,19,0.6663078,-0.0,False,not_significant
Nr2e1,0.591844,1.3390731,0.5539550360910108,1.0,p7,19,1.3390731,-0.0,False,not_significant
